re
%-\(|%-\)|\^\^|\)-:|\):|0:\)|8\)|8-\)|8-0|:#|:'\(|:'-\(|:\*\(|:-\(|:-\(o\)|:-\)|:-/|:-D|:-O|:-P|:-S|:-\\|:-\||:-\}|:/|:3|:D|:O|:P|:S|:X|:\[|:\\|:]|:o\)|:p|:s|:\||:Þ|;\)|;\^\)|;o\)|<3|<:\}|=\(|=\)|=\[|=]|>/|>:\)|>:D|>:O|>=D|X\(|X-\(|xD|xP|\}:\)|>_<|O_O|o-o|O_o|o_O|o_o|O-O|O\.O|o\.o|O\.o|o\.O|͡° ͜ʖ ͡°|</3|:0\)|:\*|=-\)|;-\)|:>|:->|>:-\(|:-p|:b|:-b|;p|;-p|;b|;-b|\\o/|o/|\\o|\*_\*|x_x
\(-:|\(:|\(o:|:o|:-o
\^ \^|\^-\^|\^\.\^|\^_\^
:\(
:\)
:o\(|>:\(
D:
\^o\)
